CME,t0 (UT),pa,da,va,vmax,mindt,maxdt,vmed,halo?
157,2024/07/10 21:24,3,277,104,1488,630,194,1953,II
136,2024/07/16 13:48,2,155,100,484,72,372,651,II
115,2024/07/17 18:12,8,173,292,1179,562,179,1953,IV
112,2024/07/22 18:48,2,134,130,679,112,428,820,II
97,2024/07/23 00:24,4,111,100,325,103,174,525,II
77,2024/07/23 01:48,2,269,92,415,173,206,946,II
69,2024/07/23 14:24,2,139,104,281,71,153,496,II
59,2024/07/24 17:36,4,137,228,1644,267,919,1953,III
58,2024/07/27 05:00,3,310,118,619,120,347,868,II
44,2024/07/28 02:24,6,186,126,204,58,124,336,II
13,2024/07/28 15:05,1,69,108,1208,103,962,1423,II
190,2024/07/29 04:00,1,164,118,735,54,612,864,II
176,2024/07/30 19:48,3,136,122,925,398,214,1771,II
157,2024/07/31 07:12,1,115,92,595,65,422,762,II
126,2024/07/31 18:36,7,219,140,388,150,199,710,II
119,2024/08/02 04:28,3,9,228,781,535,221,1954,III
118,2024/08/05 13:48,3,202,94,269,190,156,781,II
76,2024/08/07 19:24,2,85,212,726,299,244,1562,III
68,2024/08/08 19:48,7,239,144,314,60,156,453,II
52,2024/08/09 21:48,2,153,168,480,92,233,651,II
31,2024/08/14 07:00,2,233,92,267,62,166,411,II
169,2024/08/20 11:48,2,79,112,294,69,178,446,II
164,2024/08/22 06:48,4,104,134,301,112,100,554,II
118,2024/08/22 08:36,1,121,108,428,154,255,744,II
101,2024/08/22 15:37,4,188,130,367,98,195,600,II
95,2024/08/24 18:48,2,135,144,452,118,228,744,II
37,2024/08/28 04:12,2,269,108,744,259,82,1358,II
20,2024/09/01 11:24,2,276,118,1097,361,306,1736,II
1,2024/09/03 08:12,3,261,92,516,157,190,868,II
141,2024/09/05 06:36,1,276,146,1157,241,624,1615,II
119,2024/09/05 07:36,3,356,338,1454,568,343,1953,IV
94,2024/09/09 02:48,9,288,102,504,227,201,1236,II
77,2024/09/09 03:12,2,19,100,844,184,459,1157,II
65,2024/09/10 00:24,1,87,108,1644,319,868,1953,II
60,2024/09/10 07:24,2,90,102,338,68,218,488,II
35,2024/09/13 04:17,3,175,300,1842,128,1565,1957,IV
23,2024/09/14 15:36,4,207,96,440,126,224,710,II
9,2024/09/14 16:48,5,187,200,437,151,103,781,III
5,2024/09/26 13:25,7,246,190,679,522,105,1953,III
140,2024/09/29 08:24,9,144,360,1644,556,328,1953,IV
100,2024/10/01 22:36,4,271,128,868,696,183,1953,II
80,2024/10/03 12:24,5,183,152,1349,607,351,2016,II
77,2024/10/03 12:36,13,14,126,264,141,114,702,II
57,2024/10/03 13:37,3,223,92,905,344,449,1644,II
6,2024/10/07 22:12,2,326,94,437,28,388,499,II
113,2024/10/16 23:48,4,287,96,242,49,150,357,II
104,2024/10/24 03:48,2,158,98,512,174,218,801,II
76,2024/10/26 06:48,6,175,228,416,98,150,637,III
75,2024/11/04 01:36,4,146,94,258,20,221,303,II
18,2024/11/10 10:12,9,72,166,325,98,107,466,II
153,2024/11/12 13:36,5,188,230,822,647,206,1967,III
148,2024/11/12 14:48,8,107,132,197,133,100,568,II
98,2024/11/14 20:12,5,328,94,212,34,157,315,II
80,2024/11/16 09:36,5,72,122,664,415,292,1736,II
77,2024/11/18 17:00,4,310,118,466,128,204,781,II
66,2024/11/21 12:24,5,35,108,256,46,152,328,II
60,2024/11/21 19:00,10,354,138,306,63,134,440,II
21,2024/11/25 20:12,2,76,310,1953,0,1953,1953,IV
151,2024/11/29 18:12,9,293,152,214,41,138,318,II
93,2024/12/07 20:36,3,272,130,411,182,183,892,II
83,2024/12/11 21:24,5,75,132,332,252,192,1043,II
76,2024/12/15 00:00,7,161,300,727,541,170,1953,IV
75,2024/12/15 14:36,8,174,282,1838,178,1358,1953,IV
70,2024/12/21 18:12,2,274,118,405,124,224,710,II
44,2024/12/21 20:00,6,54,114,126,19,102,195,II
43,2024/12/22 03:48,2,287,100,762,323,248,1562,II
18,2024/12/25 08:00,9,107,124,315,359,236,1249,II
17,2024/12/27 04:28,11,271,236,801,530,129,1953,III
7,2024/12/29 06:12,3,51,96,181,26,124,231,II
5,2025/01/01 02:00,5,65,116,254,176,166,1008,II
4,2025/01/04 18:36,4,265,112,467,130,229,702,II
191,2025/01/07 23:12,4,254,146,843,246,130,1201,II
185,2025/01/21 09:24,3,263,124,508,256,179,1179,II
181,2025/01/22 08:36,3,172,102,1149,553,105,1735,II
160,2025/01/24 12:12,2,349,92,384,40,286,466,II
153,2025/01/30 16:00,3,185,132,430,125,213,710,II
141,2025/01/31 14:24,3,201,164,318,80,184,520,II
136,2025/02/02 05:24,3,216,360,558,300,255,1562,IV
117,2025/02/02 21:00,2,271,100,490,162,172,867,II
112,2025/02/05 02:00,3,74,134,801,79,664,992,II
107,2025/02/06 13:36,3,95,92,1213,568,159,2016,II
106,2025/02/14 21:48,3,313,244,589,119,381,844,III
105,2025/02/15 14:48,4,111,116,308,50,223,416,II
78,2025/02/19 19:12,2,109,96,606,143,221,811,II
70,2025/02/21 09:24,3,277,92,520,210,217,1083,II
46,2025/02/24 21:12,1,70,130,1041,418,214,1488,II
145,2025/02/28 17:12,6,73,136,644,216,233,1201,II
128,2025/03/02 10:00,2,15,116,259,55,152,411,II
121,2025/03/15 05:12,4,353,112,291,149,144,856,II
118,2025/03/19 05:12,5,187,288,1644,778,176,1953,IV
117,2025/03/19 08:12,1,326,98,414,51,336,568,II
101,2025/03/22 16:24,1,240,110,469,153,206,822,II
64,2025/03/28 15:24,9,260,118,323,90,110,496,II
38,2025/04/05 04:24,0,254,114,490,128,161,801,II
35,2025/04/12 23:36,2,207,152,413,120,195,704,II
32,2025/04/13 07:00,2,148,102,296,87,184,473,II
22,2025/04/19 00:00,3,288,166,894,254,224,1275,II
7,2025/04/20 21:48,2,257,140,710,169,381,1120,II
108,2025/05/12 23:24,4,354,350,1041,566,149,1953,IV
95,2025/05/13 15:00,6,176,222,844,401,117,1785,III
69,2025/05/14 06:24,3,235,104,318,71,186,492,II
47,2025/05/14 08:12,3,90,166,446,79,271,600,II
13,2025/05/18 23:36,3,63,104,461,163,224,822,II
12,2025/05/21 16:12,6,6,186,325,80,178,548,III
11,2025/05/30 07:12,2,170,94,512,94,372,762,II
4,2025/05/30 23:48,2,121,100,357,85,218,568,II
112,2025/06/03 07:48,3,58,118,473,69,303,600,II
104,2025/06/08 08:00,10,353,324,322,715,159,1953,IV
74,2025/06/08 11:36,4,300,210,624,502,249,1953,III
72,2025/06/11 21:36,6,115,92,946,531,279,1736,II
62,2025/06/11 23:24,9,144,360,1683,817,168,1886,IV
46,2025/06/15 06:36,7,157,92,188,35,129,303,II
42,2025/06/15 19:24,1,15,140,520,75,349,726,II
39,2025/06/16 03:36,4,7,340,1302,513,226,1735,IV
38,2025/06/17 00:48,8,144,360,1077,529,279,1953,IV
23,2025/06/18 05:00,2,182,114,925,601,262,1953,II
19,2025/06/29 16:12,3,72,102,791,288,199,1358,II
10,2025/07/03 07:08,3,273,168,744,289,236,1420,II
1,2025/07/03 08:56,4,74,110,603,230,240,1197,II
